attendance,endurance,strength,flexibility,participation,skill_speed,physical_progress,score
51,64,73,66,92,45,53,60.26
52,88,41,88,68,40,68,55.13
98,46,87,87,56,41,59,69.85
86,50,70,72,61,67,91,66.69
98,81,54,37,65,65,53,69.28
66,94,67,61,55,58,61,66.44
98,43,81,87,61,52,51,69.08
51,45,93,43,82,43,50,57.64
51,84,68,79,87,75,77,74.43
77,38,94,49,69,90,80,72.49
72,37,57,53,63,51,62,57.01
86,63,90,58,83,94,42,78.85
81,62,58,89,68,50,54,65.2
82,36,43,30,80,67,89,63.27
50,50,57,39,75,51,41,48.81
68,34,80,48,84,78,46,70.35
51,41,82,68,93,30,55,59.78
93,88,51,74,73,86,76,76.59
75,87,90,77,89,71,79,82.8
81,66,73,47,83,35,82,74.36
55,74,68,84,88,84,67,73.28
81,54,40,67,83,34,41,59.33
53,56,37,36,60,50,81,49.75
60,80,87,53,63,38,81,64.52
66,71,72,51,62,85,91,73.81
87,71,72,45,70,69,54,69.27
73,89,42,35,88,40,94,67.27
54,87,74,72,60,90,82,66.75
83,51,43,36,96,65,84,67.38
55,87,49,47,65,60,76,57.8
71,40,64,64,94,70,40,59.73
60,35,83,87,55,45,59,57.61
97,51,38,78,60,49,42,58.8
65,41,63,53,89,91,51,67.51
82,56,92,45,78,64,50,66.62
58,30,67,48,71,69,41,56.37
55,93,40,48,74,44,78,60.0
65,68,63,72,79,94,40,70.92
78,89,53,30,77,84,61,71.13
52,83,71,51,73,89,42,67.29
69,54,61,60,67,59,68,62.94
85,49,45,43,68,37,73,59.48
68,65,76,59,63,41,52,60.63
75,52,43,60,84,51,62,64.27
52,30,50,80,65,43,67,52.58
68,56,85,61,60,63,58,62.99
69,81,52,72,97,63,79,75.45
81,31,90,81,58,60,53,64.17
56,50,47,46,75,76,48,60.35
90,38,41,57,72,46,55,57.51
82,77,51,63,72,82,76,70.88
89,68,43,46,67,82,73,65.72
88,71,66,35,60,83,63,65.73
67,74,60,77,75,32,44,60.82
89,31,76,58,56,80,44,65.4
50,72,86,38,75,49,50,61.97
60,47,56,60,66,72,66,62.39
77,68,79,59,94,72,82,69.15
74,35,62,88,72,46,87,69.11
99,71,89,38,55,35,90,71.95
72,81,90,84,69,87,41,75.07
80,56,50,71,77,56,85,67.68
79,44,70,39,79,67,72,61.08
91,48,59,67,74,63,88,70.23
84,91,62,62,69,76,70,74.73
56,93,63,32,57,68,42,59.47
65,80,76,58,97,89,85,83.89
75,76,35,68,95,62,61,69.48
97,86,65,82,61,33,49,64.3
98,49,64,89,97,69,71,75.62
51,49,74,70,55,55,82,63.36
50,93,59,43,67,54,75,65.64
97,67,86,44,67,78,84,75.51
61,67,87,84,70,60,93,74.25
54,94,52,80,90,90,76,72.03
86,34,71,39,92,51,88,69.12
81,93,77,45,81,82,81,79.37
58,56,85,62,76,34,70,57.17
90,49,43,57,62,80,73,64.47
84,89,49,68,70,81,71,77.61
68,69,63,72,86,45,41,61.05
97,35,71,53,70,84,92,76.54
65,65,39,44,91,64,94,63.63
52,94,89,42,60,68,63,69.05
69,40,78,48,79,51,91,64.38
73,78,43,40,96,63,56,64.07
82,57,71,42,77,33,75,65.92
73,51,44,69,73,87,92,72.54
60,76,59,88,79,35,68,65.93
98,54,89,61,55,58,44,67.18
57,61,72,83,63,51,82,58.2
85,46,44,55,86,81,69,66.24
87,69,72,88,99,65,82,81.76
89,59,54,71,71,35,53,63.94
69,88,76,45,67,87,72,77.92
84,57,43,46,78,86,83,70.79
97,76,91,78,84,84,81,82.66
74,52,37,42,97,91,74,66.01
84,86,77,42,94,88,91,81.54
74,30,45,44,75,91,44,60.54
78,58,38,73,98,79,46,63.09
67,79,83,40,90,42,47,60.88
95,93,62,30,68,81,43,72.3
67,66,75,64,77,39,57,66.43
51,90,72,47,70,72,82,71.45
84,36,45,89,78,85,56,66.64
65,93,85,73,68,54,61,67.25
90,47,66,87,87,30,72,66.22
85,58,52,30,71,85,61,64.63
82,89,74,51,89,70,73,75.94
53,83,88,81,57,51,79,73.1
82,50,80,31,87,90,49,64.51
63,50,53,59,82,85,80,64.65
70,87,50,82,82,71,55,70.76
97,78,37,47,59,36,79,62.52
69,65,47,30,62,34,89,60.11
57,46,90,32,99,75,64,75.4
56,82,83,87,61,92,88,80.3
52,44,85,39,89,60,58,60.88
66,69,71,77,64,90,80,69.03
82,80,87,89,72,64,81,78.81
97,94,82,44,60,46,47,63.58
61,42,64,32,91,69,40,59.88
71,67,48,42,70,44,93,59.81
71,55,90,53,93,79,77,73.48
95,44,88,68,85,55,52,64.28
79,34,85,59,92,58,53,69.11
87,31,86,72,91,57,51,76.16
87,94,70,61,75,49,46,70.34
94,89,40,64,67,90,86,68.32
57,85,66,64,88,58,90,68.59
76,67,75,84,63,73,70,66.28
76,86,74,44,88,33,91,68.41
83,80,66,63,87,70,64,75.67
70,70,46,68,64,54,74,60.28
79,81,77,63,84,55,45,66.41
82,30,73,47,69,77,61,62.89
77,47,59,64,61,49,56,60.23
96,56,59,52,95,73,86,73.07
82,71,88,84,61,44,93,74.39
54,35,91,61,69,86,88,69.98
97,53,42,79,80,79,63,70.51
68,74,76,79,96,33,67,67.67
53,36,69,48,73,58,57,57.94
84,45,40,58,99,30,55,59.18
98,87,77,69,73,56,42,74.01
66,86,38,79,92,73,49,67.9
93,71,78,73,93,45,85,79.19
77,43,69,41,72,77,82,70.85
79,85,60,33,55,51,48,58.07
78,41,65,51,60,54,40,55.87
95,44,55,72,96,79,77,77.8
55,37,58,74,74,89,65,66.37
84,87,89,44,85,30,61,70.1
90,82,44,50,99,64,94,79.38
86,38,41,71,72,67,93,67.08
73,75,60,64,71,78,68,70.5
78,36,62,71,86,32,46,61.01
98,73,36,48,79,65,49,66.67
95,43,94,37,96,61,53,72.51
80,35,78,65,68,49,69,63.33
84,64,48,44,59,71,75,65.06
82,90,41,80,61,59,72,71.13
70,53,51,33,70,36,55,55.69
81,31,49,54,61,76,71,57.36
72,80,56,80,74,45,68,66.52
82,60,66,89,62,87,73,77.05
52,56,60,66,71,57,44,57.8
67,60,57,55,63,77,40,58.38
74,72,60,38,96,79,84,75.74
91,81,84,73,69,31,89,74.86
80,43,90,84,65,55,79,71.49
52,88,58,79,67,56,62,64.47
89,49,56,60,90,94,41,69.59
95,81,89,35,78,60,74,76.73
73,69,61,54,59,72,59,65.99
99,73,55,89,82,47,45,72.91
81,35,71,35,77,40,91,62.88
96,86,77,48,56,34,52,64.14
71,87,42,34,87,81,76,77.19
72,59,48,34,67,86,73,68.68
51,81,36,88,68,86,83,71.26
76,40,86,83,77,86,69,69.89
91,76,41,34,78,53,62,62.38
51,34,61,78,62,85,87,64.93
75,32,42,49,55,46,52,50.81
66,44,38,75,58,62,67,52.19
89,31,93,77,77,32,59,66.99
82,31,44,83,68,63,48,59.94
58,83,80,42,80,42,47,66.69
92,75,88,38,98,31,62,70.9
97,70,81,89,74,61,46,70.5
88,59,44,43,71,47,54,61.22
78,73,50,42,84,55,49,63.62
91,39,37,76,93,56,76,61.29
75,59,57,62,69,55,93,66.23
84,78,36,77,83,73,43,66.88
99,64,35,52,60,30,87,58.82
74,94,45,59,94,80,48,67.38
73,46,82,47,94,30,54,65.17
62,60,92,47,72,83,64,73.76
56,81,78,72,86,78,62,72.87
85,55,71,65,74,92,79,77.23
94,34,92,43,55,65,61,68.74
69,43,54,41,98,46,57,58.54
50,80,94,68,83,47,75,67.87
57,44,55,56,59,65,88,65.33
95,41,64,86,90,44,94,76.26
65,75,59,58,58,88,85,77.67
63,93,81,36,91,44,61,63.92
61,88,51,44,85,53,66,69.57
72,55,74,48,92,55,45,66.35
64,58,85,38,76,80,60,73.1
77,33,57,49,56,55,53,53.66
83,79,53,77,89,78,52,73.34
51,54,78,73,73,38,58,58.31
81,69,55,51,65,80,73,67.13
72,61,41,65,79,51,40,55.69
71,66,40,61,96,82,73,68.03
74,39,36,32,96,45,71,56.99
71,67,37,78,55,75,46,57.24
71,90,75,47,86,41,78,72.9
98,56,94,45,61,36,85,66.54
91,36,45,32,66,73,89,63.43
55,38,94,41,89,47,94,66.56
64,88,56,53,56,64,83,70.7
92,65,84,87,88,40,89,79.61
86,59,93,40,72,59,42,68.71
82,48,82,52,94,81,78,70.79
57,70,87,85,63,46,64,65.82
93,84,76,62,57,82,53,72.32
93,35,82,33,81,67,51,65.42
54,51,43,43,83,74,43,54.51
88,53,54,67,68,72,66,62.45
53,91,36,38,62,42,73,57.41
55,71,84,63,95,45,83,68.32
94,51,50,75,86,75,71,70.52
81,45,60,69,78,67,84,68.75
79,42,86,82,80,55,53,63.16
96,66,57,62,65,59,63,68.12
84,81,48,48,59,85,47,59.55
89,53,55,66,88,59,59,64.92
65,46,57,32,93,53,63,60.31
62,45,46,85,62,39,79,61.53
99,30,38,66,99,47,80,64.81
91,30,51,67,69,39,56,61.99
79,59,65,56,69,52,70,61.99
68,53,62,78,90,86,89,69.39
66,75,86,69,79,40,65,63.24
68,31,87,35,95,54,48,61.04
77,44,88,61,91,32,63,63.66
75,58,86,83,96,92,73,81.31
86,91,73,77,75,43,84,75.9
75,42,94,47,60,38,83,61.44
72,94,70,61,87,35,66,69.01
58,74,81,49,72,80,73,64.95
61,76,48,65,61,68,84,66.68
50,45,86,44,81,71,91,69.69
50,32,88,52,78,90,64,67.78
96,34,65,80,90,62,55,69.62
83,55,67,43,94,70,66,68.69
81,44,43,50,72,58,44,65.71
97,84,56,75,77,55,79,79.98
74,51,70,32,56,70,88,62.82
89,66,64,36,61,57,47,60.26
94,58,86,46,91,43,65,70.82
50,55,43,33,74,33,66,53.96
65,40,43,87,92,84,51,64.14
88,49,88,74,64,31,76,66.74
54,62,46,79,55,57,82,59.77
71,59,62,64,63,39,56,60.81
78,79,50,35,89,67,80,68.35
52,63,71,61,95,45,45,65.76
61,34,83,64,96,40,64,60.11
75,41,91,75,55,52,78,66.01
65,81,40,88,87,94,71,77.66
86,80,43,51,90,57,44,67.82
71,50,77,37,95,56,55,64.88
78,87,68,56,88,89,57,75.85
63,93,65,57,94,60,81,77.14
77,35,90,31,61,48,93,68.25
54,78,41,88,77,53,63,62.52
96,66,66,83,72,42,76,73.2
98,39,83,31,55,30,63,61.54
79,85,77,75,65,88,43,69.9
95,74,88,56,74,41,43,65.45
54,93,58,36,74,39,61,62.59
61,45,64,41,86,33,94,63.99
65,39,76,37,86,70,75,67.84
75,50,60,38,74,65,84,67.85
75,41,67,51,81,91,46,69.19
97,42,60,47,95,41,54,66.33
70,39,53,68,58,73,65,56.91
88,42,35,57,87,88,74,65.95
85,63,86,67,75,88,91,75.74
82,88,54,63,77,82,47,72.57
79,78,72,35,89,93,44,69.09
86,35,82,60,59,75,93,70.22
72,41,46,88,60,76,53,62.26
59,58,93,44,86,80,76,68.69
54,55,77,82,60,91,49,63.05
85,45,56,86,96,37,88,71.2
83,82,84,78,80,65,70,75.28
80,48,89,33,63,45,71,64.62
59,76,41,34,55,34,45,44.25
68,61,56,52,75,53,43,54.11
81,90,61,42,76,78,62,69.51
50,34,48,87,78,93,69,63.78
54,88,91,74,91,63,83,72.37
94,31,47,56,75,79,44,64.07
53,31,54,74,69,51,48,46.93
65,32,42,87,64,40,86,63.2
73,72,80,60,80,30,82,66.26
65,34,52,85,64,30,81,55.1
51,79,92,48,97,45,40,68.79
98,39,38,59,80,73,43,66.2
77,56,57,68,61,42,76,58.7
81,53,57,84,63,72,89,68.9
76,51,38,59,67,73,67,57.65
69,32,75,34,86,75,59,59.89
73,45,36,81,90,91,47,63.14
61,59,80,40,78,37,78,59.1
99,72,78,39,71,47,80,72.65
84,33,56,87,93,31,58,66.89
82,69,85,70,56,73,42,68.67
82,45,84,83,86,62,49,70.56
92,45,93,30,60,94,40,64.38
86,84,78,82,98,62,57,79.63
61,49,35,44,80,67,83,62.79
52,80,44,50,96,48,43,60.05
50,86,90,51,72,57,91,68.11
82,80,68,61,70,47,76,68.01
89,47,65,55,59,60,47,55.57
59,88,48,42,89,50,77,67.38
92,57,86,34,87,45,82,73.59
93,57,82,43,74,36,43,64.52
78,42,53,83,97,76,49,75.13
62,35,80,84,58,68,62,63.04
61,58,63,33,88,77,58,64.32
80,38,90,70,88,80,83,75.47
95,58,80,69,61,49,78,67.97
51,67,89,37,88,59,48,62.44
99,94,70,38,86,48,83,76.43
84,85,64,60,80,64,60,77.33
72,59,45,32,83,62,93,66.43
66,88,64,56,72,37,62,65.5
75,87,93,38,92,47,55,66.82
57,39,56,58,79,73,78,66.09
78,50,87,63,97,87,64,77.15
75,85,36,58,82,68,87,65.99
59,55,73,76,55,67,82,64.5
75,44,59,39,58,44,49,53.81
83,64,79,42,70,59,72,71.13
90,44,42,30,61,48,87,56.43
56,35,66,69,68,48,92,64.73
53,57,78,43,56,94,45,57.38
99,92,41,61,73,83,94,79.24
94,58,93,45,67,81,67,69.38
60,77,56,85,65,54,88,74.15
78,92,63,55,55,72,63,66.87
85,87,93,84,89,86,45,80.69
74,50,36,62,74,88,47,58.74
70,51,72,60,83,55,72,62.61
85,56,77,37,94,85,62,76.24
59,86,83,89,86,80,77,78.93
86,39,49,54,88,70,65,64.22
58,51,88,62,67,44,71,63.55
73,73,89,59,93,86,82,82.61
84,57,54,30,69,90,42,64.62
98,79,60,30,98,55,54,70.12
84,80,45,56,82,58,47,62.79
97,30,57,33,67,67,81,63.4
85,63,75,66,59,72,62,70.28
67,64,83,53,79,82,62,68.26
98,90,86,73,79,92,73,80.53
88,59,76,53,95,33,46,66.44
81,69,38,35,95,32,57,61.58
73,94,38,68,90,55,71,69.79
72,66,82,30,84,40,58,67.66
81,93,35,58,98,39,76,68.95
86,30,57,53,91,63,54,61.38
61,44,58,42,63,34,70,57.72
98,42,61,57,56,88,88,71.88
62,58,41,44,62,38,73,57.02
72,84,68,60,81,76,44,71.03
74,74,38,51,60,90,83,63.05
84,33,36,41,99,66,78,67.25
90,93,57,46,61,89,66,70.83
79,44,82,55,94,86,40,72.15
66,77,70,42,85,81,55,65.09
98,85,89,82,59,67,57,77.5
69,44,56,70,56,90,43,58.78
97,68,44,74,90,37,66,70.75
74,89,76,46,94,90,41,73.1
71,73,69,55,96,72,78,75.53
62,72,75,80,76,50,76,69.94
68,33,61,57,80,60,68,58.75
98,79,58,67,85,37,72,72.51
85,68,41,79,92,47,72,69.51
61,83,85,71,90,72,48,78.13
90,52,55,71,78,54,64,67.06
68,89,93,61,82,92,77,78.54
61,64,42,50,65,64,65,63.11
58,83,84,76,86,94,72,80.33
56,87,70,38,86,80,86,71.09
77,91,39,66,71,84,87,70.41
63,77,50,45,77,46,59,58.35
80,36,52,80,74,53,51,63.97
68,74,72,34,72,90,64,67.58
96,42,57,67,67,41,78,58.24
65,82,90,38,91,41,42,65.18
54,68,78,35,65,55,89,64.66
84,47,86,44,96,91,69,73.66
61,51,71,47,64,67,73,64.52
74,65,85,34,85,44,78,65.7
70,82,55,89,70,30,63,64.54
85,32,79,70,96,74,55,68.97
72,91,56,39,73,88,84,64.99
65,58,47,72,72,87,66,67.69
88,37,70,45,97,59,42,63.3
94,75,45,74,95,35,49,63.79
91,85,40,56,86,56,40,62.36
88,78,43,78,81,83,89,77.73
63,72,54,69,89,47,46,60.95
80,39,73,82,61,93,81,72.03
54,42,58,52,76,30,45,50.03
84,86,46,57,75,47,51,59.76
72,31,76,40,80,85,76,70.32
78,94,69,33,97,46,72,65.15
92,71,73,33,92,48,77,65.06
60,87,59,45,64,31,86,65.17
67,39,61,85,80,44,84,61.27
96,92,76,57,72,69,90,79.22
61,90,35,58,62,83,58,67.3
58,30,46,86,59,94,92,69.26
59,55,35,74,90,64,53,59.9
93,34,47,87,92,86,79,70.9
66,64,73,46,93,32,58,55.66
87,42,84,35,82,87,46,60.45
56,56,74,74,93,78,61,72.15
95,41,40,47,58,92,49,63.87
62,79,63,42,59,52,72,60.21
89,88,81,71,61,34,57,65.71
91,60,84,89,77,45,63,73.45
58,66,38,64,95,72,91,71.2
99,31,57,54,77,69,54,65.54
76,94,78,84,74,80,57,77.66
51,32,42,64,98,75,62,59.64
54,49,71,71,81,33,63,63.4
78,31,36,40,94,85,63,58.56
86,71,84,41,55,94,71,73.72
87,72,38,82,67,47,40,63.51
68,50,85,83,65,59,88,71.93
57,74,57,67,55,79,92,70.81
97,49,55,61,67,85,75,70.28
94,72,87,43,98,91,61,81.3
50,79,60,54,62,50,58,62.83
71,72,74,62,88,94,91,80.76
66,53,64,77,89,86,41,68.19
56,89,67,89,78,41,41,63.31
74,61,56,63,57,88,80,69.21
94,34,46,72,94,45,52,62.49
53,31,40,68,64,90,41,54.7
85,55,54,88,89,54,67,66.76
55,54,41,65,95,79,56,65.06
80,79,64,35,90,57,52,66.49
68,68,77,86,98,94,61,84.95
93,40,75,70,99,82,63,73.22
88,92,91,33,96,68,84,76.84
76,47,42,36,68,52,69,56.28
59,57,51,64,90,75,55,62.53
75,71,77,48,78,32,41,60.35
68,89,62,60,95,71,46,72.29
88,51,66,49,93,79,40,65.24
52,69,82,50,63,86,86,70.9
94,91,43,54,99,80,58,75.55
62,32,78,41,61,92,69,59.1
99,92,38,63,96,48,89,77.65
77,49,37,46,97,48,90,61.13
69,55,78,72,93,94,94,84.53
77,70,84,61,95,62,86,69.9
57,32,70,30,89,39,80,59.08
90,72,82,44,67,43,56,69.8
88,46,41,30,94,47,73,60.09
50,82,44,54,96,53,81,65.3
52,81,67,36,80,92,88,76.47
62,62,48,63,59,80,44,61.36
77,89,52,73,71,88,72,77.84
98,85,67,35,99,46,70,74.15
74,93,88,67,65,31,69,68.71
82,37,60,65,76,72,75,67.76
87,62,73,30,98,83,84,73.86
55,54,90,44,98,78,77,73.53
93,36,84,42,71,30,65,63.31
94,88,51,50,97,39,75,68.2
81,62,77,42,55,35,71,65.15
94,70,62,69,86,52,78,66.98
96,62,36,46,69,57,60,59.46
70,58,74,46,70,71,94,73.69
65,68,71,41,67,77,52,63.46
70,86,66,63,78,49,81,69.6
60,93,61,68,89,37,92,68.33
86,38,65,69,63,80,80,68.19
85,58,88,40,68,42,73,59.74
84,57,38,43,58,71,53,56.09
68,82,69,44,94,81,70,72.74
69,75,66,52,88,60,76,72.74
67,68,45,33,56,73,89,65.13
96,87,91,62,78,85,85,83.41
90,83,87,54,89,53,60,78.22
98,35,57,74,68,63,53,66.58
63,74,81,70,78,57,71,71.61
64,69,94,51,55,94,40,70.84
80,52,57,61,70,35,86,58.48
50,71,73,30,55,34,86,58.19
52,67,90,53,82,85,79,78.54
65,45,69,82,58,86,61,64.02
72,76,51,36,78,73,94,70.75
60,50,86,72,69,58,57,61.63
61,50,83,86,78,57,54,65.56
59,54,54,66,55,39,90,57.77
81,90,77,35,93,36,40,67.16
65,83,84,44,85,48,78,73.04
57,89,66,82,61,83,73,78.0
87,71,90,63,65,63,62,71.48
61,90,72,30,59,56,89,67.09
73,61,80,68,84,65,76,73.99
77,82,39,80,98,85,89,74.6
57,73,49,37,96,81,55,68.39
77,40,66,64,91,32,87,67.01
85,76,68,41,65,37,79,64.15
75,89,60,75,88,54,46,71.25
57,65,85,53,86,86,56,67.35
99,89,49,30,77,83,93,76.56
77,62,43,42,96,75,55,62.62
77,71,39,66,56,37,47,53.15
86,42,68,44,99,55,63,65.58
90,43,67,63,63,44,45,59.01
85,87,55,66,90,77,56,73.59
76,69,37,42,72,87,47,57.5
66,94,64,45,66,86,53,65.64
58,34,39,65,55,77,62,55.48
82,59,58,35,88,40,40,61.04
69,74,86,82,58,59,86,74.34
62,87,50,79,60,59,54,64.38
77,68,40,63,78,31,73,58.29
97,41,74,41,86,90,63,71.91
78,63,69,83,91,53,57,65.24
62,43,60,80,82,90,55,69.83
95,67,78,73,64,46,73,72.88
84,45,90,67,68,41,45,64.71
55,90,35,76,77,69,43,65.05
67,88,92,78,93,94,85,87.46
54,40,54,65,92,44,54,54.15
96,40,88,72,82,81,74,71.17
74,45,80,53,95,38,44,59.84
51,67,45,33,95,85,84,69.37
59,59,54,54,99,64,58,67.95
79,70,73,80,55,84,90,78.5
99,30,38,70,90,48,47,57.46
94,67,72,40,84,71,72,75.57
54,89,80,75,82,70,90,78.49
82,48,76,32,69,68,90,71.82
50,88,64,36,83,76,80,76.79
67,39,70,83,93,35,72,63.55
